,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Ashton Turner,BATTERS,2019,False,Right hand Bat,Right arm Offbreak,RR
Stuart Binny,ALLROUNDERS,"2019,2018,2015,2014,2013",False,Right hand Bat,Right arm Medium,RR
Krishnappa Gowtham,ALLROUNDERS,"2019,2018",False,Right hand Bat,Right arm Offbreak,RR
Shubham Ranjane,ALLROUNDERS,2019,False,Right hand Bat,Right arm Medium,RR
Dhawal Kulkarni,BOWLERS,"2019,2018,2015,2014",False,Right hand Bat,Right arm Medium,RR
Sudhesan Midhun,BOWLERS,"2019,2018",False,Right hand Bat,Legbreak Googly,RR
Ish Sodhi,BOWLERS,"2019,2018",False,Right hand Bat,Legbreak,RR
Jatin Saxena,BATTERS,2018,False,Right hand Bat,Legbreak,RR
Heinrich Klaasen,BATTERS,2018,True,Right hand Bat,Right arm Offbreak,RR
D'Arcy Short,BATTERS,2018,False,Left hand Bat,Left arm Wrist spin,RR
Ankit Sharma,BOWLERS,"2018,2015,2014",False,Left hand Bat,Slow Left arm Orthodox,RR
Anureet Singh,BOWLERS,2018,False,Right hand Bat,Right arm Medium,RR
Ben Laughlin,BOWLERS,2018,False,Right hand Bat,Right arm Fast medium,RR
Steven Smith,BATTERS,"2015,2014",False,Right hand Bat,Legbreak Googly,RR
Dishant Yagnik,BATTERS,"2015,2014,2013,2012,2011",False,,,RR
Wicketkeeper,BATTERS,"2015,2014,2013,2012,2011",False,Left hand Bat,,RR
SR Watson headshot,BATTERS,"2015,2014",False,,,RR
(c),BATTERS,"2015,2014",False,Right hand Bat,Right arm Fast medium,RR
Rajat Bhatia,BATTERS,"2015,2014",False,Right hand Bat,Right arm Medium fast,RR
Ben Cutting,BATTERS,"2015,2014",False,Right hand Bat,Right arm Fast medium,RR
James Faulkner,BATTERS,"2015,2014,2013",False,Right hand Bat,Left arm Fast medium,RR
Deepak Hooda,BATTERS,"2015,2014",False,Right hand Bat,Right arm Offbreak,RR
Abhishek Nayar,BATTERS,"2015,2014",False,Left hand Bat,Right arm Medium,RR
Pardeep Sahu,BATTERS,2015,False,Right hand Bat,Legbreak Googly,RR
Vikramjeet Malik,BOWLERS,"2015,2014,2013",False,Right hand Bat,Right arm Medium,RR
Tim Southee,BOWLERS,"2015,2014",False,Right hand Bat,Right arm Medium fast,RR
Barinder Sran,BOWLERS,2015,False,Left hand Bat,Left arm Medium,RR
Pravin Tambe,BOWLERS,"2015,2014,2013",False,Right hand Bat,Legbreak,RR
Rusty Theron,BOWLERS,2015,False,Right hand Bat,Right arm Medium fast,RR
Sagar Trivedi,BOWLERS,2015,False,Left hand Bat,Right arm Medium,RR
Ankush Bains,BATTERS,2014,True,Right hand Bat,,RR
Unmukt Chand,BATTERS,2014,True,Right hand Bat,Right arm Offbreak,RR
Brad Hodge,BATTERS,"2014,2013,2012",False,Right hand Bat,Right arm Offbreak,RR
Kevon Cooper,BATTERS,"2014,2013,2012",False,Right hand Bat,Right arm Medium,RR
Iqbal Abdulla,BATTERS,2014,False,Left hand Bat,Slow Left arm Orthodox,RR
Amit Mishra,BOWLERS,2014,False,Right hand Bat,Right arm Medium,RR
Kane Richardson,BOWLERS,2014,False,Right hand Bat,Right arm Fast medium,RR
Rahul Dravid,BATTERS,"2013,2012,2011",False,Right hand Bat,Right arm Offbreak,RR
Shreevats Goswami,BATTERS,"2013,2012",True,Left hand Bat,,RR
Kusal Perera,BATTERS,2013,True,Left hand Bat,,RR
Sachin Baby,BATTERS,2013,False,Left hand Bat,Right arm Offbreak,RR
Owais Shah,BATTERS,"2013,2012",False,Right hand Bat,Right arm Offbreak,RR
Harmeet Singh,ALLROUNDERS,2013,False,Left hand Bat,Slow Left arm Orthodox,RR
Brad Hogg,ALLROUNDERS,"2013,2012",False,Left hand Bat,Left arm Wrist spin,RR
Ashok Menaria,ALLROUNDERS,"2013,2012,2011",False,Left hand Bat,Slow Left arm Orthodox,RR
Shane Watson,ALLROUNDERS,"2013,2012,2011,2009,2008",False,Right hand Bat,Right arm Fast medium,RR
Samuel Badree,BOWLERS,2013,False,Right hand Bat,Legbreak,RR
Fidel Edwards,BOWLERS,2013,False,Right hand Bat,Right arm Fast,RR
Rahul Shukla,BOWLERS,2013,False,Right hand Bat,Right arm Medium,RR
Shaun Tait,BOWLERS,"2013,2012,2011,2010,2009",False,Right hand Bat,Right arm Fast,RR
Siddharth Trivedi,BOWLERS,"2013,2012,2011,2010,2009,2008",False,Right hand Bat,Right arm Medium,RR
Dinesh Chandimal,BATTERS,2012,True,Right hand Bat,Right arm Offbreak,RR
Ankeet Chavan,BATTERS,"2012,2011",False,Left hand Bat,Slow Left arm Orthodox,RR
Aakash Chopra,BATTERS,"2012,2011",False,Right hand Bat,"Right arm Medium, Right arm Offbreak",RR
Faiz Fazal,BATTERS,"2012,2011,2010",False,Left hand Bat,Right arm Medium,RR
Amit Paunikar,BATTERS,"2012,2011,2010",True,Right hand Bat,,RR
Pinal Shah,BATTERS,"2012,2011",True,Right hand Bat,,RR
STR Binny headshot,BATTERS,"2012,2011",False,Right hand Bat,Right arm Medium,RR
Johan Botha,BATTERS,"2012,2011,2010,2009",False,Right hand Bat,Right arm Offbreak,RR
Ajit Chandila,BATTERS,2012,False,Right hand Bat,Right arm Offbreak,RR
Sumit Narwal,BATTERS,"2012,2011,2010",False,Left hand Bat,Right arm Medium,RR
Abhishek Raut,BATTERS,"2012,2011,2010,2009",False,Right hand Bat,Legbreak Googly,RR
Deepak Chahar,BOWLERS,"2012,2011",False,Right hand Bat,Right arm Medium,RR
Aditya Dole,BOWLERS,"2012,2011",False,Right hand Bat,Right arm Medium fast,RR
Samad Fallah,BOWLERS,"2012,2011",False,Left hand Bat,Left arm Medium,RR
Pankaj Singh,BOWLERS,"2012,2011,2008",False,Right hand Bat,Right arm Medium fast,RR
Amit Singh,BOWLERS,"2012,2011,2010,2009",False,Right hand Bat,Right arm Medium fast,RR
Sreesanth,BOWLERS,2012,False,Right hand Bat,Right arm Fast medium,RR
Swapnil Asnodkar,BATTERS,"2011,2010,2009,2008",False,Right hand Bat,Right arm Offbreak,RR
Ross Taylor,BATTERS,2011,False,Right hand Bat,Right arm Offbreak,RR
Jacob Oram,BATTERS,2011,False,Left hand Bat,Right arm Fast medium,RR
Shane Warne,BOWLERS,"2011,2010,2009,2008",False,Right hand Bat,Legbreak Googly,RR
Nayan Doshi,BOWLERS,2011,False,Right hand Bat,Slow Left arm Orthodox,RR
Aaron Finch,BATTERS,2010,False,Right hand Bat,Slow Left arm Orthodox,RR
Abhishek Jhunjhunwala,BATTERS,2010,False,Right hand Bat,Right arm Offbreak,RR
Michael Lumb,BATTERS,2010,False,Left hand Bat,Right arm Medium,RR
Naman Ojha,BATTERS,"2010,2009",True,Right hand Bat,,RR
Adam Voges,BATTERS,2010,False,Right hand Bat,Slow Left arm Orthodox,RR
Yusuf Pathan,ALLROUNDERS,"2010,2009,2008",False,Right hand Bat,Right arm Offbreak,RR
Shrikant Wagh,ALLROUNDERS,2010,False,Left hand Bat,Left arm Medium fast,RR
Kamran Khan,BOWLERS,"2010,2009",False,Left hand Bat,Left arm Medium fast,RR
Morne Morkel,BOWLERS,"2010,2009,2008",False,Left hand Bat,Right arm Fast,RR
Munaf Patel,BOWLERS,"2010,2009,2008",False,Right hand Bat,Right arm Medium fast,RR
Syed Quadri,BOWLERS,2010,False,Right hand Bat,Right arm Offbreak,RR
Amit Uniyal,BOWLERS,2010,False,Left hand Bat,Left arm Medium,RR
Siddharth Chitnis,BATTERS,2009,False,Right hand Bat,Right arm Offbreak,RR
Rob Quiney,BATTERS,2009,False,Left hand Bat,Right arm Medium,RR
Mahesh Rawat,BATTERS,"2009,2008",True,Right hand Bat,,RR
Graeme Smith,BATTERS,"2009,2008",False,Left hand Bat,Right arm Offbreak,RR
Paul Valthaty,BATTERS,2009,False,Right hand Bat,Right arm Medium,RR
Lee Carseldine,ALLROUNDERS,2009,False,Left hand Bat,Left arm Medium,RR
Raiphi Gomez,ALLROUNDERS,2009,False,Right hand Bat,Right arm Medium,RR
Ravindra Jadeja,ALLROUNDERS,"2009,2008",False,Left hand Bat,Slow Left arm Orthodox,RR
Niraj Patel,ALLROUNDERS,"2009,2008",False,Left hand Bat,,RR
Shane Harwood,BOWLERS,2009,False,Right hand Bat,Right arm Fast medium,RR
Tyron Henderson,BOWLERS,2009,False,Right hand Bat,Right arm Fast medium,RR
Aditya Angle,BOWLERS,"2009,2008",False,Right hand Bat,Right arm Offbreak,RR
Pushkaraj Chavan,BOWLERS,2009,False,Left hand Bat,Slow Left arm Orthodox,RR
Abdulahad Malek,BOWLERS,2009,False,Left hand Bat,,RR
Mohammed Arif,BOWLERS,2009,False,Left hand Bat,Right arm Medium,RR
Parag More,BOWLERS,"2009,2008",False,Right hand Bat,Right arm Offbreak,RR
Atul Sharma,BOWLERS,2009,False,Right hand Bat,Right arm Fast,RR
Gajendra Singh,BOWLERS,2009,False,Right hand Bat,Slow Left arm Orthodox,RR
Mohammad Kaif,BATTERS,2008,False,Right hand Bat,Right arm Offbreak,RR
Kamran Akmal,BATTERS,2008,True,Right hand Bat,,RR
Taruwar Kohli,BATTERS,2008,False,Right hand Bat,Right arm Medium,RR
Darren Lehmann,BATTERS,2008,False,Left hand Bat,Slow Left arm Orthodox,RR
Jaydev Shah,BATTERS,2008,False,Left hand Bat,Right arm Offbreak,RR
Younis Khan,BATTERS,2008,False,Right hand Bat,"Right arm Medium, Legbreak",RR
Dinesh Salunkhe,BOWLERS,2008,False,Right hand Bat,Legbreak,RR
Sohail Tanvir,BOWLERS,2008,False,Left hand Bat,Left arm Medium fast,RR
Sumit Khatri,BOWLERS,2008,False,Left hand Bat,Left arm Wrist spin,RR
Anup Revandkar,BOWLERS,2008,False,Right hand Bat,Right arm Offbreak,RR
