,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Laxmipathy Balaji portrait,ALLROUNDERS,"2009,2010",False,,,CSK
Thilan Thushara,ALLROUNDERS,"2009,2010",False,Left hand Bat,Left arm Fast medium,CSK
Sudeep Tyagi,ALLROUNDERS,"2009,2010",False,Right hand Bat,Right arm Medium,CSK
Owais Shah,BATTERS,"2009,2010",False,Right hand Bat,Right arm Offbreak,DC
David Warner,BATTERS,"2009,2010",False,Left hand Bat,Legbreak,DC
"Rajat Bhatia, profile",BATTERS,2009,False,Right hand Bat,Right arm Medium fast,DC
Paul Collingwood,BATTERS,"2009,2010",False,Right hand Bat,Right arm Medium,DC
Andrew McDonald,BATTERS,"2009,2010",False,Right hand Bat,Right arm Fast medium,DC
Daniel Vettori,BATTERS,2009,False,Left hand Bat,Slow Left arm Orthodox,DC
Dirk Nannes,BOWLERS,"2009,2010",False,Right hand Bat,Left arm Fast,DC
Aavishkar Salvi,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Medium,DC
Umesh Yadav,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Fast,DC
Manvinder Bisla,BATTERS,"2009,2010",False,,,DCG
Wicketkeeper,BATTERS,"2009,2009,2010,2010,2010",False,Right hand Bat,,DCG
Tirumalasetti Suman,BATTERS,"2009,2010",False,Right hand Bat,Right arm Offbreak,DCG
Fidel Edwards,BOWLERS,2009,False,Right hand Bat,Right arm Fast,DCG
Harmeet Singh,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Medium,DCG
Ryan Harris,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Fast,DCG
Jaskaran Singh,BOWLERS,2009,False,Right hand Bat,Right arm Medium,DCG
Abhinav Kumar,BOWLERS,2009,False,Right hand Bat,,DCG
Azhar Bilakhia,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Medium,DCG
Shoaib Ahmed,BOWLERS,2009,False,Right hand Bat,Right arm Fast medium,DCG
Rohan Banerjee,BATTERS,2009,False,Left hand Bat,Right arm Medium,KKR
Arindam Ghosh,BATTERS,2009,False,Right hand Bat,Right arm Medium,KKR
Morne van Wyk,BATTERS,2009,True,Right hand Bat,Slow Left arm Orthodox,KKR
Yashpal Singh,BATTERS,2009,False,Right hand Bat,Right arm Medium,KKR
Chris Gayle,ALLROUNDERS,"2009,2010",False,Left hand Bat,Right arm Offbreak,KKR
Moises Henriques,ALLROUNDERS,"2009,2010",False,Right hand Bat,Right arm Fast medium,KKR
Angelo Mathews,ALLROUNDERS,"2009,2010",False,Right hand Bat,Right arm Medium,KKR
Anureet Singh,BOWLERS,2009,False,Right hand Bat,Right arm Medium,KKR
Charl Langeveldt,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Fast medium,KKR
Mashrafe Mortaza,BOWLERS,2009,False,Right hand Bat,Right arm Fast medium,KKR
Shoaib Shaikh,BOWLERS,2009,False,Right hand Bat,Right arm Medium,KKR
Mohammad Ashraful,BATTERS,2009,False,Right hand Bat,"Right arm Offbreak, Legbreak",MI
"Dwayne Bravo player page headshot cutout, 2021",BATTERS,"2009,2010",False,Right hand Bat,Right arm Medium,MI
Jean-Paul Duminy,BATTERS,"2009,2010",False,Left hand Bat,Right arm Offbreak,MI
Ryan McLaren,BATTERS,"2009,2010",False,Left hand Bat,Right arm Medium fast,MI
"Dilhara Fernando player page headshot cutout, 2021",BATTERS,2009,False,,,MI
Lasith Malinga,BATTERS,"2009,2010",False,Right hand Bat,Right arm Fast,MI
Chetanya Nanda,BATTERS,2009,False,Right hand Bat,Legbreak,MI
Rahil Shaikh,BATTERS,2009,False,Left hand Bat,Left arm Medium,MI
Ravikant Shukla,BATTERS,2009,False,Left hand Bat,Right arm Medium,PBKS
Ryan Ninan,ALLROUNDERS,2009,False,Right hand Bat,Right arm Offbreak,PBKS
"Yusuf Abdulla, player portrait",ALLROUNDERS,2009,False,,,PBKS
Amanpreet Singh,ALLROUNDERS,"2009,2010",False,Right hand Bat,Right arm Medium fast,PBKS
Burt Cockley,ALLROUNDERS,2009,False,Right hand Bat,Right arm Fast medium,PBKS
Vikramjeet Malik,ALLROUNDERS,"2009,2010",False,Right hand Bat,Right arm Medium,PBKS
Ranadeb Bose,ALLROUNDERS,2009,False,Right hand Bat,Right arm Fast medium,PBKS
Rajesh Bishnoi,BATTERS,2009,False,Right hand Bat,Right arm Medium fast,RCB
Chidhambaram Gautam,BATTERS,2009,True,Right hand Bat,,RCB
Ishank Jaggi,BATTERS,2009,False,Right hand Bat,Legbreak Googly,RCB
Saurabh Bandekar,BATTERS,2009,False,Right hand Bat,Right arm Medium fast,RCB
Raju Bhatkal,BATTERS,2009,False,Right hand Bat,Right arm Medium,RCB
Kedar Jadhav,BATTERS,"2009,2010",False,Right hand Bat,Right arm Offbreak,RCB
Jesse Ryder,BATTERS,2009,False,Left hand Bat,Right arm Medium,RCB
Roelof van der Merwe,BATTERS,"2009,2010",False,Right hand Bat,Slow Left arm Orthodox,RCB
Sreenath Aravind,BOWLERS,2009,False,Left hand Bat,Left arm Medium fast,RCB
Nathan Bracken,BOWLERS,2009,False,Right hand Bat,Left arm Fast medium,RCB
Bhuvneshwar Kumar,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Medium,RCB
Abhimanyu Mithun,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Medium,RCB
Karn Sharma,BOWLERS,2009,False,Left hand Bat,Legbreak Googly,RCB
Rangaraj Suthesh,BOWLERS,2009,False,Left hand Bat,Left arm Medium,RCB
Dillon du Preez,BOWLERS,"2009,2010",False,Right hand Bat,Right arm Fast medium,RCB
Udit Patel,BOWLERS,2009,False,Right hand Bat,Right arm Offbreak,RCB
Jitendra Patil,BOWLERS,2009,False,Right hand Bat,Left arm Medium,RCB
RK Sabharwal,BOWLERS,2009,False,Right hand Bat,,RCB
Tinu Yohannan,BOWLERS,2009,False,Right hand Bat,Right arm Medium fast,RCB
Justin Langer,BATTERS,2009,False,Left hand Bat,Right arm Medium,RR
Naman Ojha,BATTERS,"2009,2010",True,Right hand Bat,,RR
Rob Quiney,BATTERS,2009,False,Left hand Bat,Right arm Medium,RR
Paul Valthaty,BATTERS,2009,False,Right hand Bat,Right arm Medium,RR
"Johan Botha player page headshot cutout, 2021",BATTERS,"2009,2010",False,Right hand Bat,Right arm Offbreak,RR
Lee Carseldine,BATTERS,2009,False,Left hand Bat,Left arm Medium,RR
Raiphi Gomez,BATTERS,2009,False,Right hand Bat,Right arm Medium,RR
Ravindra Jadeja,BATTERS,2009,False,Left hand Bat,Slow Left arm Orthodox,RR
Abhishek Raut,BATTERS,"2009,2010",False,Right hand Bat,Legbreak Googly,RR
Shane Harwood,BATTERS,2009,False,Right hand Bat,Right arm Fast medium,RR
Tyron Henderson,BATTERS,2009,False,Right hand Bat,Right arm Fast medium,RR
Kamran Khan,BATTERS,"2009,2010",False,Left hand Bat,Left arm Medium fast,RR
Amit Singh,BATTERS,"2009,2010",False,Right hand Bat,Right arm Medium fast,RR
Shaun Tait,BATTERS,"2009,2010",False,Right hand Bat,Right arm Fast,RR
Pushkaraj Chavan,BATTERS,2009,False,Left hand Bat,Slow Left arm Orthodox,RR
Abdulahad Malek,BATTERS,2009,False,Left hand Bat,,RR
Mohammed Arif,BATTERS,2009,False,Left hand Bat,Right arm Medium,RR
Atul Sharma,BATTERS,2009,False,Right hand Bat,Right arm Fast,RR
Gajendra Singh,BATTERS,2009,False,Right hand Bat,Slow Left arm Orthodox,RR
Hemang Badani,BATTERS,2010,False,Left hand Bat,Slow Left arm Orthodox,CSK
Justin Kemp,ALLROUNDERS,2010,False,Right hand Bat,Right arm Fast medium,CSK
Thisara Perera,ALLROUNDERS,2010,False,Left hand Bat,Right arm Medium fast,CSK
Doug Bollinger,ALLROUNDERS,2010,False,Left hand Bat,Left arm Fast medium,CSK
Chandrasekar Ganapathy,ALLROUNDERS,2010,False,Right hand Bat,Right arm Medium,CSK
Sarabjit Ladda,BOWLERS,2010,False,Right hand Bat,Legbreak,DC
Wayne Parnell,BOWLERS,2010,False,Left hand Bat,Left arm Medium fast,DC
Joginder Singh,BOWLERS,2010,False,Right hand Bat,Right arm Medium,DC
Shashi Ranjan,BOWLERS,2010,False,Right hand Bat,Right arm Offbreak,DC
Sarandeep Singh,BOWLERS,2010,False,Right hand Bat,Right arm Offbreak,DC
Mohnish Mishra,BATTERS,2010,False,Right hand Bat,Right arm Offbreak,DCG
Bodapati Sumanth,BATTERS,2010,False,Right hand Bat,Right arm Medium fast,DCG
Ashish Reddy,ALLROUNDERS,2010,False,Right hand Bat,Right arm Medium,DCG
Mitchell Marsh,ALLROUNDERS,2010,False,Right hand Bat,Right arm Medium,DCG
Kemar Roach,BOWLERS,2010,False,Right hand Bat,Right arm Fast medium,DCG
Rahul Sharma,BOWLERS,2010,False,Right hand Bat,Legbreak Googly,DCG
Anirudh Singh,BOWLERS,2010,False,Left hand Bat,Right arm Medium,DCG
Harshad Khadiwale,BATTERS,2010,False,Right hand Bat,Right arm Medium fast,KKR
Cheteshwar Pujara,BATTERS,2010,False,Right hand Bat,Legbreak,KKR
Manoj Tiwary,BATTERS,2010,False,Right hand Bat,Legbreak Googly,KKR
Ganapathi Vignesh,ALLROUNDERS,2010,False,Right hand Bat,Right arm Medium fast,KKR
Varun Aaron,BOWLERS,2010,False,Right hand Bat,Right arm Fast,KKR
Shane Bond,BOWLERS,2010,False,Right hand Bat,Right arm Fast,KKR
Eklak Ahmid,BOWLERS,2010,False,Left hand Bat,Left arm Medium fast,KKR
Rohan Gavaskar,BOWLERS,2010,False,Left hand Bat,Slow Left arm Orthodox,KKR
Chirag Pathak,BOWLERS,2010,False,Left hand Bat,,KKR
Chandan Madan,BATTERS,2010,False,,,MI
Ambati Rayudu,BATTERS,2010,False,Right hand Bat,Right arm Offbreak,MI
Aditya Tare,BATTERS,2010,False,,,MI
Graham Napier,BATTERS,2010,False,Right hand Bat,Right arm Medium,MI
Kieron Pollard,BATTERS,2010,False,Right hand Bat,Right arm Medium,MI
Rajagopal Sathish,BATTERS,2010,False,Right hand Bat,Right arm Medium,MI
Abu Nechim,BOWLERS,2010,False,Right hand Bat,Right arm Medium fast,MI
Ishan Malhotra,BOWLERS,2010,False,Right hand Bat,Right arm Medium fast,MI
Ali Murtaza,BOWLERS,2010,False,Left hand Bat,Slow Left arm Orthodox,MI
Rahul Shukla,BOWLERS,2010,False,Right hand Bat,Right arm Medium,MI
Syed Shahabuddin,BOWLERS,2010,False,Right hand Bat,Right arm Medium fast,MI
Adrian Barath,BATTERS,2010,False,Right hand Bat,Right arm Offbreak,PBKS
Mohammad Kaif,BATTERS,2010,False,Right hand Bat,Right arm Offbreak,PBKS
Bipul Sharma,ALLROUNDERS,2010,False,Left hand Bat,Slow Left arm Orthodox,PBKS
Ravi Bopara,ALLROUNDERS,2010,False,Right hand Bat,Right arm Medium,PBKS
Reetinder Sodhi,ALLROUNDERS,2010,False,Right hand Bat,Right arm Medium,PBKS
Yusuf Abdulla,BOWLERS,2010,False,Left hand Bat,Left arm Fast medium,PBKS
Love Ablish,BOWLERS,2010,False,Right hand Bat,Right arm Medium fast,PBKS
Brett Lee,BOWLERS,2010,False,Right hand Bat,Right arm Fast,PBKS
Shalabh Srivastava,BOWLERS,2010,False,Right hand Bat,Left arm Fast medium,PBKS
Rusty Theron,BOWLERS,2010,False,Right hand Bat,Right arm Medium fast,PBKS
Eoin Morgan,BATTERS,2010,False,Left hand Bat,Right arm Medium,RCB
Kevin Pietersen,BATTERS,2010,False,Right hand Bat,Right arm Offbreak,RCB
Steven Smith,BATTERS,2010,False,Right hand Bat,Legbreak Googly,RCB
Sridharan Sriram,BATTERS,2010,False,Left hand Bat,Slow Left arm Orthodox,RCB
Faiz Fazal,BATTERS,2010,False,Left hand Bat,Right arm Medium,RR
Aaron Finch,BATTERS,2010,False,Right hand Bat,Slow Left arm Orthodox,RR
Abhishek Jhunjhunwala,BATTERS,2010,False,Right hand Bat,Right arm Offbreak,RR
Michael Lumb,BATTERS,2010,False,Left hand Bat,Right arm Medium,RR
Amit Paunikar,BATTERS,2010,True,Right hand Bat,,RR
Adam Voges,BATTERS,2010,False,Right hand Bat,Slow Left arm Orthodox,RR
Sumit Narwal,BATTERS,2010,False,Left hand Bat,Right arm Medium,RR
Shrikant Wagh,BATTERS,2010,False,Left hand Bat,Left arm Medium fast,RR
Syed Quadri,BATTERS,2010,False,Right hand Bat,Right arm Offbreak,RR
Amit Uniyal,BATTERS,2010,False,Left hand Bat,Left arm Medium,RR
